id,tc_e_a,tc_pv_a,tc_land_a,tc_pi_a,tc_p_a,tc_e_p,tc_pv_p,tc_p_p,tc_pi_p,name1,tc_e_f,tc_p_f,tc_pi_f,tc_pv_f
1,314078.5021,363909.5066,3070091.522,546633.9546,910543.4612,10.23026512,11.85337649,29.65851196,17.80513547,Block Group 1,0.102302651,0.29658512,0.178051355,0.118533765
2,98779.28214,1130.320905,416205.6871,89586.00544,90716.32635,23.73328505,0.271577477,21.79603238,21.52445491,Block Group 2,0.237332851,0.217960324,0.215244549,0.002715775
3,115163.5528,3810.796194,401899.054,52134.70612,55945.50232,28.65484545,0.948197354,13.92028714,12.97208978,Block Group 3,0.286548455,0.139202871,0.129720898,0.009481974
4,85043.1919,785.842153,220014.2729,41046.79629,41832.63845,38.6534886,0.357177806,19.01360211,18.65642431,Block Group 4,0.386534886,0.190136021,0.186564243,0.003571778
5,124744.3681,882.726802,351454.4467,54825.94637,55708.67318,35.49375153,0.25116393,15.85089439,15.59973046,Block Group 5,0.354937515,0.158508944,0.155997305,0.002511639
6,173434.2867,2648.180406,618500.8343,118231.5667,120879.7471,28.04107562,0.42816117,19.54399095,19.11582978,Block Group 6,0.280410756,0.19543991,0.191158298,0.004281612
7,195470.1618,2712.770172,424150.2284,55224.24993,57937.0201,46.08512474,0.639577676,13.65955179,13.01997411,Block Group 7,0.460851247,0.136595518,0.130199741,0.006395777
8,173811.0603,1087.261061,457338.6031,57937.0201,59024.28116,38.00489596,0.23773656,12.90603521,12.66829865,Block Group 8,0.38004896,0.129060352,0.126682987,0.002377366
9,135433.9743,1410.209891,358527.0261,51004.38522,52414.59511,37.77510884,0.393334334,14.61942651,14.22609218,Block Group 9,0.377751088,0.146194265,0.142260922,0.003933343
10,125659.3898,1184.14571,306790.6235,42758.42509,43942.5708,40.95933191,0.385978455,14.32330959,13.93733113,Block Group 10,0.409593319,0.143233096,0.139373311,0.003859785
11,188763.5911,2077.637473,400252.0149,46623.04609,48700.68356,47.16118448,0.519082327,12.16750491,11.64842258,Block Group 11,0.471611845,0.121675049,0.116484226,0.005190823
12,65558.61249,828.901997,260921.1247,47193.58902,48022.49102,25.12583547,0.317682977,18.40498391,18.08730093,Block Group 12,0.251258355,0.184049839,0.180873009,0.00317683
13,456089.8676,49443.46587,1816318.045,196622.0127,246065.4785,25.11068306,2.722181064,13.54748852,10.82530745,Block Group 13,0.251106831,0.135474885,0.108253075,0.027221811
14,111944.8294,8999.507396,318083.0676,45815.67402,54815.18141,35.19358332,2.829294707,17.23297685,14.40368214,Block Group 14,0.351935833,0.172329769,0.144036821,0.028292947
15,130126.8486,22843.24724,687762.5933,129147.2371,151990.4844,18.92031492,3.321385528,22.09926591,18.77788039,Block Group 15,0.189203149,0.220992659,0.187778804,0.033213855
16,131009.5754,1894.633136,551865.7257,108198.623,110093.2561,23.73939335,0.343314152,19.94928314,19.60596898,Block Group 16,0.237393934,0.199492831,0.19605969,0.003433142
17,121837.8286,1065.731139,360314.0096,61510.98715,62576.71829,33.81434675,0.295778435,17.36727316,17.07149473,Block Group 17,0.338143468,0.173672732,0.170714947,0.002957784
18,100781.5649,925.786646,315800.8959,53092.78765,54018.5743,31.91300791,0.293155168,17.10526316,16.81210799,Block Group 18,0.319130079,0.171052632,0.16812108,0.002931552
19,9343.986148,925.786646,97369.07225,34124.92637,35050.71302,9.596462134,0.950801548,35.99778883,35.04698729,Block Group 19,0.095964621,0.359977888,0.350469873,0.009508015
20,279.888986,75.354727,15964.43716,3552.43713,3627.791857,1.753202967,0.472016183,22.72420769,22.2521915,Block Group 20,0.01753203,0.227242077,0.222521915,0.004720162
21,144670.3109,505.953167,391241.7426,53232.73215,53738.68531,36.9772177,0.129319833,13.73541713,13.60609729,Block Group 21,0.369772177,0.137354171,0.136060973,0.001293198
22,95022.31075,990.376412,558464.6468,120459.9136,121450.29,17.01491962,0.177339142,21.74717607,21.56983693,Block Group 22,0.170149196,0.217471761,0.215698369,0.001773391
23,53641.80066,1141.085866,379281.8709,85506.08522,86647.17109,14.14299095,0.300854313,22.84506003,22.54420572,Block Group 23,0.14142991,0.2284506,0.225442057,0.003008543
24,34167.98621,527.483089,223329.8809,65537.08257,66064.56566,15.29933481,0.236190109,29.58160609,29.34541598,Block Group 24,0.152993348,0.295816061,0.29345416,0.002361901
25,155306.0923,3853.856038,615422.0554,92772.4339,96626.28994,25.23570467,0.626213507,15.70081688,15.07460337,Block Group 25,0.252357047,0.157008169,0.150746034,0.006262135
26,46483.1016,882.726802,348418.7277,97229.12775,98111.85455,13.34116048,0.253352283,28.15917939,27.9058271,Block Group 26,0.133411605,0.281591794,0.279058271,0.002533523
27,42984.48927,850.431919,275421.5272,79423.88226,80274.31418,15.60680086,0.308774673,29.14598398,28.8372093,Block Group 27,0.156068009,0.29145984,0.288372093,0.003087747
28,74708.82934,4811.937567,1007019.042,220412.5765,225224.514,7.418809997,0.477839779,22.36546726,21.88762748,Block Group 28,0.0741881,0.223654673,0.218876275,0.004778398
29,173423.5217,1291.79532,510485.2156,53232.73215,54524.52747,33.97229076,0.253052445,10.68092195,10.42786951,Block Group 29,0.339722908,0.10680922,0.104278695,0.002530524
30,55116.60032,1205.675632,241156.6563,58981.22132,60186.89695,22.85510222,0.499955361,24.95759307,24.45763771,Block Group 30,0.228551022,0.249575931,0.244576377,0.004999554
31,209464.6111,14952.53083,722210.4685,70618.14416,85570.67499,29.00326432,2.070384117,11.84844013,9.778056015,Block Group 31,0.290032643,0.118484401,0.09778056,0.020703841
32,88832.45817,775.077192,340097.4129,74256.70098,75031.77817,26.11971006,0.227898585,22.06184914,21.83395056,Block Group 32,0.261197101,0.220618491,0.218339506,0.002278986
33,145725.2771,3337.13791,635240.3486,94505.59262,97842.73053,22.94017963,0.525334689,15.40247416,14.87713947,Block Group 33,0.229401796,0.154024742,0.148771395,0.005253347
34,155327.6223,2056.107551,567657.9235,71048.7426,73104.85015,27.3628916,0.362208905,12.87832815,12.51611924,Block Group 34,0.273628916,0.128783282,0.125161192,0.003622089
35,158029.6275,1517.859501,601212.3069,118403.806,119921.6655,26.28516178,0.252466472,19.94664184,19.69417537,Block Group 35,0.262851618,0.199466418,0.196941754,0.002524665
36,132118.3664,1528.624462,571253.4204,118920.5242,120449.1486,23.12780311,0.267591301,21.08506388,20.81747258,Block Group 36,0.231278031,0.210850639,0.208174726,0.002675913
37,81027.86145,764.312231,524016.7716,102643.9031,103408.2154,15.46283742,0.145856444,19.73376063,19.58790419,Block Group 37,0.154628374,0.197337606,0.195879042,0.001458564
38,24145.80752,1528.624462,330085.9991,84515.70881,86044.33327,7.315005055,0.463098849,26.06724717,25.60414832,Block Group 38,0.073150051,0.260672472,0.256041483,0.004630988
39,165392.8608,80446.55355,2579144.711,549712.7335,630159.287,6.412701858,3.119117481,24.43287824,21.31376076,Block Group 39,0.064127019,0.244328782,0.213137608,0.031191175
40,59680.94378,2626.650484,579682.3849,126154.578,128781.2284,10.29545581,0.453118907,22.21582573,21.76270683,Block Group 40,0.102954558,0.222158257,0.217627068,0.004531189
41,105130.6091,8084.485711,757304.2414,150074.3213,158158.807,13.88221581,1.06753472,20.88444754,19.81691282,Block Group 41,0.138822158,0.208844475,0.198169128,0.010675347
42,29076.15966,409.068518,211628.3683,50735.26119,51144.32971,13.73925429,0.193295692,24.16704817,23.97375248,Block Group 42,0.137392543,0.241670482,0.239737525,0.001932957
43,79348.52753,1130.320905,296337.8464,75828.38528,76958.70619,26.77637315,0.381429817,25.96992153,25.58849172,Block Group 43,0.267763732,0.259699215,0.255884917,0.003814298
44,73556.97851,1625.509111,481333.7012,115292.7323,116918.2414,15.28190906,0.337709391,24.29047481,23.95276542,Block Group 44,0.152819091,0.242904748,0.239527654,0.003377094
45,196966.4914,55665.61333,789739.0689,76162.09908,131827.7124,24.940705,7.048608271,16.69256563,9.643957362,Block Group 45,0.24940705,0.166925656,0.096439574,0.070486083
46,117144.3056,2734.300094,688914.4442,132075.3065,134809.6066,17.00418776,0.396899806,19.56841053,19.17151072,Block Group 46,0.170041878,0.195684105,0.191715107,0.003968998
47,28042.72341,850.431919,211402.3041,41186.74079,42037.17271,13.26509828,0.402281291,19.884917,19.48263571,Block Group 47,0.132650983,0.19884917,0.194826357,0.004022813
48,48054.7859,129.179532,220143.4525,43221.31842,43350.49795,21.82885086,0.058679707,19.69193154,19.63325183,Block Group 48,0.218288509,0.196919315,0.196332518,0.000586797
49,74278.2309,387.538596,415678.2041,78993.28382,79380.82241,17.86916662,0.093230435,19.09670068,19.00347024,Block Group 49,0.178691666,0.190967007,0.190034702,0.000932304
50,81738.34887,409.068518,427896.4348,72329.77296,72738.84148,19.10236736,0.095599889,16.99916979,16.9035699,Block Group 50,0.191023674,0.169991698,0.169035699,0.000955999
51,26234.20996,581.307894,364802.9984,83622.21705,84203.52494,7.191336166,0.159348442,23.0819169,22.92256846,Block Group 51,0.071913362,0.230819169,0.229225685,0.001593484
52,40347.07383,1593.214228,541757.4273,156188.8191,157782.0334,7.447442674,0.294082582,29.1241108,28.83002822,Block Group 52,0.074474427,0.291241108,0.288300282,0.002940826
53,47258.17879,21196.20821,1567787.39,494940.6119,516136.8201,3.014323185,1.351982312,32.92135294,31.56937063,Block Group 53,0.030143232,0.329213529,0.315693706,0.013519823
54,49508.05564,409.068518,581706.1976,157437.5546,157846.6231,8.510835169,0.070322187,27.13511113,27.06478894,Block Group 54,0.085108352,0.271351111,0.270647889,0.000703222
55,50283.13283,12734.94886,467242.3672,128447.5147,141182.4635,10.76168095,2.725555248,30.21610911,27.49055387,Block Group 55,0.10761681,0.302161091,0.274905539,0.027255552
56,48022.49102,818.137036,495823.3387,130880.3958,131698.5329,9.685403504,0.165005753,26.56158406,26.3965783,Block Group 56,0.096854035,0.265615841,0.263965783,0.001650058
57,164757.7281,290.653947,511120.3483,108177.0931,108467.747,32.23462511,0.056866049,21.22156698,21.16470093,Block Group 57,0.322346251,0.21221567,0.211647009,0.00056866
58,91491.40354,172.239376,317792.4137,74655.00454,74827.24391,28.78967515,0.054198706,23.54595034,23.49175163,Block Group 58,0.287896752,0.235459503,0.234917516,0.000541987
59,79671.47636,1442.504774,601029.3026,147835.2094,149277.7142,13.25583895,0.240005731,24.83701103,24.5970053,Block Group 59,0.13255839,0.24837011,0.245970053,0.002400057
60,63050.37658,64.589766,178924.4168,35147.59767,35212.18743,35.23855364,0.036098911,19.67992299,19.64382408,Block Group 60,0.352385536,0.19679923,0.196438241,0.000360989
61,64395.9967,53.824805,245624.1151,63900.8085,63954.6333,26.21729412,0.021913486,26.03760354,26.01569006,Block Group 61,0.262172941,0.260376035,0.260156901,0.000219135
62,41714.22388,0,329666.1657,84214.2899,84214.2899,12.6534744,0,25.54532393,25.54532393,Block Group 62,0.126534744,0.255453239,0.255453239,0
63,44125.57514,2798.88986,463022.5025,124421.4192,127220.3091,9.529898633,0.60448247,27.47605319,26.87157072,Block Group 63,0.095298986,0.274760532,0.268715707,0.006044825
64,65881.56132,86.119688,342885.5378,88089.67586,88175.79555,19.21386412,0.025116162,25.71581062,25.69069446,Block Group 64,0.192138641,0.257158106,0.256906945,0.000251162
65,30432.54475,1496.329579,462807.2033,130019.199,131515.5285,6.57564198,0.323315966,28.41691477,28.09359881,Block Group 65,0.06575642,0.284169148,0.280935988,0.00323316
66,483723.5225,904698.0874,3097466.818,144142.8278,1048840.915,15.61674591,29.20767648,33.86124781,4.653571329,Block Group 66,0.156167459,0.338612478,0.046535713,0.292076765
67,36299.44849,43.059844,328266.7207,89919.71923,89962.77908,11.05791303,0.013117335,27.40539122,27.39227389,Block Group 67,0.11057913,0.274053912,0.273922739,0.000131173
68,31293.74163,32.294883,265851.4769,68669.68622,68701.9811,11.77113703,0.012147716,25.84224166,25.83009394,Block Group 68,0.11771137,0.258422417,0.258300939,0.000121477
69,34189.51614,183.004337,388970.3358,99586.65421,99769.65855,8.789748983,0.047048405,25.64968312,25.60263471,Block Group 69,0.08789749,0.256496831,0.256026347,0.000470484
70,71156.39221,32.294883,315757.8361,54180.04871,54212.3436,22.53511523,0.010227738,17.16896223,17.15873449,Block Group 70,0.225351152,0.171689622,0.171587345,0.000102277
