Timestamp,Latitude,Longitude,Precision,UserID,GeoNameID,ADM2,ADM1,Name,Project Definition,Division,Sector Name,Sub Sector Name,Project Name,Status of,Board Approval,Start Date,Finish Date,Appraisal,Project Cost,Geoname,Source,Source URL,Notes,AfDB Funding,AfDF Funding,Total Bank Group Funding,ADM 2 Name,ADM 1 Name
3/3/11 12:13,28,3,6,josh.powell,2589581,,,Algeria,P-DZ-HB0-001,,Finance,Non bank Financial Institution,GUARANTEE FACILITY- MAGHREB LEASING ALGERIE,APVD,4/22/09 0:00,6/1/09 0:00,5/31/12 0:00,2/9/09 0:00,6000000,People’s Democratic Republic of Algeria,Appraisal Report,Folder ; unavailable (sent in a Zip file from Josh),"Andrew.Godard: The proposed investment is the grant of a partial guarantee[1] of EUR 6 million for a period of 3 years to Maghreb Leasing Algérie (MLA) that would enable it to mobilize a loan of the Algerian Dinar equivalent of EUR 12 million[2] from a local bank or consortium of banks. p. 7Troy.Shepley: Cannot find any places involved, therefore coding it as a countrywide code."," $5,356,740.00 ", $-   ," $5,356,740.00 ",,
3/3/11 12:14,-15.947612,19.383201,4,josh.powell,876337,,402,Angola,P-AO-CZ0-001,,Environment,More than one Environment Sub-Sector,SUPPORT TO ENVIRONMENT SECTOR,OnGo,3/11/09 0:00,9/29/06 0:00,12/31/15 0:00,6/20/08 0:00,13330000,Província do Cuando Cubango,Appraisal Report,Folder ; http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/AR_ang%20En.pdf,"Andrew.Godard: The demonstration sites will be established in Namibe, Kuando-Kubango, Huambo and Cabinda. p. 16 (I am assuming these are the ADM 1s, because there is no city or ADM 2 named Kuando-Kubango or any alternate spelling.)Troy.Shepley: Pg.16, Appraisal Report. Kuando-Kubango is spelled differently on geonames and the document. Because the capital of the Kuando-Kubango province is Menongue (and not Kuando-Kubango) I feel it is safe to assume the list in the document is all Admin 1's and not populated places.", $-   ," $12,000,000.00 "," $12,000,000.00 ",,Cuando Cubango
3/3/11 12:15,-4.934231,12.405319,4,josh.powell,2243266,,401,Angola,P-AO-CZ0-001,,Environment,More than one Environment Sub-Sector,SUPPORT TO ENVIRONMENT SECTOR,OnGo,3/11/09 0:00,9/29/06 0:00,12/31/15 0:00,6/20/08 0:00,13330000,Província de Cabinda,Appraisal Report,Folder ; http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/AR_ang%20En.pdf,"Andrew.Godard: The demonstration sites will be established in Namibe, Kuando-Kubango, Huambo and Cabinda. p. 16 (I am assuming these are the ADM 1s, because there is no city or ADM 2 named Kuando-Kubango or any alternate spelling.)Troy.Shepley: Pg.16: Appraisal Report.", $-   ," $12,000,000.00 "," $12,000,000.00 ",,Cabinda
3/3/11 12:15,-15.332072,12.660025,4,josh.powell,3347016,,413,Angola,P-AO-CZ0-001,,Environment,More than one Environment Sub-Sector,SUPPORT TO ENVIRONMENT SECTOR,OnGo,3/11/09 0:00,9/29/06 0:00,12/31/15 0:00,6/20/08 0:00,13330000,Província de Namibe,Appraisal Report,Folder ; http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/AR_ang%20En.pdf,"Andrew.Godard: The demonstration sites will be established in Namibe, Kuando-Kubango, Huambo and Cabinda. p. 16 (I am assuming these are the ADM 1s, because there is no city or ADM 2 named Kuando-Kubango or any alternate spelling.)Troy.Shepley: Pg.16, Appraisal Report. Possibly the seat of the Admin 1; however looking at all the other locations in the project they all are Admin 1's, therefore I'm coding it as a 4.1.", $-   ," $12,000,000.00 "," $12,000,000.00 ",,Namibe
3/3/11 12:15,-12.5,15.6666667,4,josh.powell,3348310,,405,Angola,P-AO-CZ0-001,,Environment,More than one Environment Sub-Sector,SUPPORT TO ENVIRONMENT SECTOR,OnGo,3/11/09 0:00,9/29/06 0:00,12/31/15 0:00,6/20/08 0:00,13330000,Província do Huambo,Appraisal Report,Folder ; http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/AR_ang%20En.pdf,"Andrew.Godard: The demonstration sites will be established in Namibe, Kuando-Kubango, Huambo and Cabinda. p. 16 (I am assuming these are the ADM 1s, because there is no city or ADM 2 named Kuando-Kubango or any alternate spelling.)Troy.Shepley: Pg.16: Appraisal Report", $-   ," $12,000,000.00 "," $12,000,000.00 ",,Huambo
3/3/11 12:16,-12.5,18.5,8,josh.powell,3351879,,,Angola,P-AO-CZ0-001,,Environment,More than one Environment Sub-Sector,SUPPORT TO ENVIRONMENT SECTOR,OnGo,3/11/09 0:00,9/29/06 0:00,12/31/15 0:00,6/20/08 0:00,13330000,Republic of Angola,Appraisal Report,Folder ; http://www.afdb.org/fileadmin/uploads/afdb/Documents/Project-and-Operations/AR_ang%20En.pdf,"Andrew.Godard: The project will cover the entire nation. Beneficiaries of the project will be the government and people of Angola. The direct beneficiaries will include MINAMB, other line ministries and Agencies p. 15Troy.Shepley: pg.15", $-   ," $12,000,000.00 "," $12,000,000.00 ",,
3/4/11 11:35,9.9338889,3.2044444,1,"Troy.Shepley,Andrew.Godard",2392505,5887,612,Benin,P-BJ-DB0-013,,Transport,Road Transport / Highways,PROJET DE BITUMAGE DE LA ROUTE NDALI-NIKKI-CHICANDOU-FRONTIERE NIGERIA,APVD,4/7/10 0:00,7/1/09 0:00,6/30/14 0:00,10/5/09 0:00,36850000,Nikki,Project Appraisal Report ; Appraisal Report,PAR ; Folder,"Troy.Shepley: pg.14, PAR, PDF #1. Ndali-Nikki-Chicandou road.Andrew.Godard: improve: (i) movement of goods and persons on the Ndali-Nikki-Chicandou-Nigerian Road Section of the Lamakara (Togo)-Ouaké-Ndali-Chicanda-Ilorin (Nigeria); and (ii) the living conditions of the communities within the project impact area (PIA). p. 14 (map. 36)", $-   ," $33,680,000.00 "," $33,680,000.00 ",Nikki,Borgou
3/4/11 11:35,9.8608333,2.7180556,1,"Troy.Shepley,Andrew.Godard",2392595,5886,612,Benin,P-BJ-DB0-013,,Transport,Road Transport / Highways,PROJET DE BITUMAGE DE LA ROUTE NDALI-NIKKI-CHICANDOU-FRONTIERE NIGERIA,APVD,4/7/10 0:00,7/1/09 0:00,6/30/14 0:00,10/5/09 0:00,36850000,Ndali,Project Appraisal Report ; Appraisal Report,PAR ; Folder,"Troy.Shepley: pg.14, PAR, PDF #2 (of the ZIP for Benin). Ndali-Nikki-Chicandou road.Andrew.Godard: improve: (i) movement of goods and persons on the Ndali-Nikki-Chicandou-Nigerian Road Section of the Lamakara (Togo)-Ouaké-Ndali-Chicanda-Ilorin (Nigeria); and (ii) the living conditions of the communities within the project impact area (PIA). p. 14 (map p. 36)", $-   ," $33,680,000.00 "," $33,680,000.00 ",Ndali,Borgou
3/4/11 11:35,9.73027,2.45032,3,"Troy.Shepley,Andrew.Godard",7669269,5886,612,Benin,P-BJ-DB0-013,,Transport,Road Transport / Highways,PROJET DE BITUMAGE DE LA ROUTE NDALI-NIKKI-CHICANDOU-FRONTIERE NIGERIA,APVD,4/7/10 0:00,7/1/09 0:00,6/30/14 0:00,10/5/09 0:00,36850000,Ndali,Project Appraisal Report ; Appraisal Report,PAR ; Folder,"Troy.Shepley: pg.17, PAR,PDF#1. Ndali-Nikki-Chicandou road is partially located in the Ndali district. Chicandou (the location) cannot be found on geonames, google, or wikipedia.Andrew.Godard: District for: improve: (i) movement of goods and persons on the Ndali-Nikki-Chicandou-Nigerian Road Section of the Lamakara (Togo)-Ouaké-Ndali-Chicanda-Ilorin (Nigeria); and (ii) the living conditions of the communities within the project impact area (PIA). p. 14 (map. 36)", $-   ," $33,680,000.00 "," $33,680,000.00 ",Ndali,Borgou
3/4/11 11:35,9.95336,3.15601,3,"Troy.Shepley,Andrew.Godard",7669355,5887,612,Benin,P-BJ-DB0-013,,Transport,Road Transport / Highways,PROJET DE BITUMAGE DE LA ROUTE NDALI-NIKKI-CHICANDOU-FRONTIERE NIGERIA,APVD,4/7/10 0:00,7/1/09 0:00,6/30/14 0:00,10/5/09 0:00,36850000,Nikki,Project Appraisal Report ; Appraisal Report,"pg.17, PAR, PDF #1. Ndali-Nikki-Chicandou road is partially located in the Nikki district. ; Folder","Troy.Shepley: Andrew.Godard: District for road: improve: (i) movement of goods and persons on the Ndali-Nikki-Chicandou-Nigerian Road Section of the Lamakara (Togo)-Ouaké-Ndali-Chicanda-Ilorin (Nigeria); and (ii) the living conditions of the communities within the project impact area (PIA). p. 14 (map. 36)", $-   ," $33,680,000.00 "," $33,680,000.00 ",Nikki,Borgou
